Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.81%,,,,
,,,,,,,,
,Not Played + Holding Pen,,5224,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
WON,Ekatepnhbypr96,Russia,2526,2317,8.27%,42117,40525,3.78%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
3,Ave Falcon,227,2493,91.05495387,1,,,
18,Pomelo,100,1254,79.74481659,2,,,
4,Bossy,176,2241,78.53636769,3,,,
13,Flip,113,1463,77.23855092,4,,,
7,Falafel,142,1944,73.04526749,5,,,
15,Flight Feathers,110,1520,72.36842105,6,,,
1,Sparky,249,3492,71.30584192,7,,,
29,roohby,63,900,70,8,,,
5,Eggy Strike,151,2162,69.84273821,9,,,
20,Xax,94,1368,68.71345029,10,,,
14,Kris,110,1688,65.16587678,11,,,
22,CJwoy,89,1471,60.50305914,12,,,
28,Lily,64,1073,59.64585275,13,,,
46,Notorious wingz,40,685,58.39416058,14,,,
10,Cubsontap,119,2040,58.33333333,15,,,
39,Mi Hung Lo,49,845,57.98816568,16,,,
67,MeltedPeep,9,156,57.69230769,17,,,
16,Flappy Wingspan,107,1892,56.55391121,18,,,
17,Jim Me,105,1971,53.27245053,19,,,
25,Fury Silver,78,1794,43.47826087,20,,,
56,KELSO,22,516,42.63565891,21,,,
43,Aliss,41,1003,40.8773679,22,,,
31,Jake,60,1470,40.81632653,23,,,
24,Mindy,82,2080,39.42307692,24,,,
54,The Real Meme,29,795,36.47798742,25,,,
62,Zoom Flocker,13,374,34.75935829,26,,,
34,Wobbly Wings1,56,1636,34.22982885,27,,,
68,Eggy Fierce,8,289,27.6816609,28,,,
72,Birdman,6,230,26.08695652,29,,,
60,Snappy,14,817,17.13586291,30,,,
,,,,,,,,
,Played Totals,2526,41662,55.43339573,,,,
,,,,,,,,
,Babe,,1017,,,,,
,Dash Feathers,,341,Kick (2/3),,,,
,Krissy Sparrow,,79,,,,,
,Lola awesome,,1430,,,,,
,niners,,711,,,,,
,,,,,,,,
,Not Played Totals,5,3578,7.91%,2725.779576,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.94%,,,,
,,,,,,,,
,Not Played + Holding Pen,,4006,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
WON,Demolition Plan,U.S.,3221,2726,15.37%,42049,39765,5.43%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
4,Eggy Strike,241,2185,110.2974828,1,,,
8,Jim Me,202,1982,101.9172553,2,,,
19,Pomelo,127,1255,101.1952191,3,,,
16,Flip,153,1513,101.1235955,4,,,
23,Lily,103,1101,93.55131698,5,,,
9,Flappy Wingspan,187,2091,89.43089431,6,,,
5,Bossy,222,2553,86.95652174,7,,,
17,Kris,150,1746,85.91065292,8,,,
29,roohby,77,949,81.13804004,9,,,
10,Falafel,187,2330,80.25751073,10,,,
6,Ave Falcon,210,2658,79.00677201,11,,,
12,Cubsontap,162,2064,78.48837209,12,,,
13,Mindy,159,2093,75.96751075,13,,,
22,Xax,104,1436,72.42339833,14,,,
35,Notorious wingz,65,905,71.82320442,15,,,
20,Fury Silver,122,1811,67.36609608,16,,,
1,Sparky,257,3982,64.54043194,17,,,
26,Lola awesome,93,1466,63.43792633,18,,,
61,MeltedPeep,11,175,62.85714286,19,,,
42,The Real Meme,48,807,59.4795539,20,,,
43,Mi Hung Lo,48,846,56.73758865,21,,,
28,Jake,83,1482,56.00539811,22,,,
58,Eggy Fierce,17,316,53.79746835,23,,,
32,Wobbly Wings1,74,1636,45.23227384,24,,,
52,niners,29,679,42.70986745,25,,,
36,CJwoy,63,1480,42.56756757,26,,,
63,Birdman,9,271,33.2103321,27,,,
57,KELSO,18,602,29.90033223,28,,,
,,,,,,,,
,Played Totals,3221,42414,70.97606166,,,,
,,,,,,,,
,Aliss,,1027,,,,,
,Babe,,1017,Kick,,,,
,Flight Feathers,,1710,,,,,
,Krissy Sparrow,,79,Kick,,,,
,Snappy,,817,,,,,
,Soup,,73,Kick (First),,,,
,Speedy McSwine,,54,Pass,,,,
,Tricky Star,,72,Pass,,,,
,Zoom Flocker,,382,,,,,
,,,,,,,,
,Not Played Totals,9,5231,10.98%,3574.637339,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.89%,,,,
,,,,,,,,
,Not Played + Holding Pen,,5659,#REF!,#REF!,<- Projected Score,,
